"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A"
"SP1","19/08/16","La Coruna","Eibar",2,1,"H",11,12,6,6,14,17,1,8,3,3,0,0,1.95,3.4,4.2
"SP1","19/08/16","Malaga","Osasuna",1,1,"D",14,8,4,3,11,22,5,3,2,3,0,0,1.62,3.75,6
"SP1","20/08/16","Barcelona","Betis",6,2,"H",30,6,12,2,17,13,10,2,1,3,0,0,1.08,11,29
"SP1","20/08/16","Granada","Villarreal",1,1,"D",7,12,1,3,17,11,7,3,2,3,0,0,2.5,3.2,3
"SP1","20/08/16","Sevilla","Espanol",6,4,"H",16,10,11,7,8,15,8,2,2,2,0,0,1.67,4,5
"SP1","21/08/16","Ath Madrid","Alaves",1,1,"D",27,2,6,1,7,15,20,2,0,4,0,0,1.2,6.5,17
"SP1","21/08/16","Sociedad","Real Madrid",0,3,"A",8,18,0,8,22,11,4,7,2,3,0,0,4.75,3.8,1.75
"SP1","21/08/16","Sp Gijon","Ath Bilbao",2,1,"H",12,13,4,4,18,15,2,5,3,3,0,0,4,3.5,1.95
"SP1","22/08/16","Celta","Leganes",0,1,"A",10,15,2,6,5,13,8,4,4,1,0,1,1.65,3.75,5.75
"SP1","22/08/16","Valencia","Las Palmas",2,4,"A",17,6,8,4,15,18,12,1,2,2,0,0,1.73,3.75,5
"SP1","26/08/16","Betis","La Coruna",0,0,"D",15,12,5,1,20,15,13,2,0,2,0,0,2.2,3.2,3.5
"SP1","26/08/16","Espanol","Malaga",2,2,"D",7,9,2,3,20,17,3,4,2,4,0,0,2.3,3.1,3.4
"SP1","27/08/16","Eibar","Valencia",1,0,"H",13,13,6,3,13,11,6,10,2,2,0,0,2.7,3.2,2.75
"SP1","27/08/16","Leganes","Ath Madrid",0,0,"D",6,10,1,3,19,5,1,8,3,1,0,0,8.5,3.6,1.53
"SP1","27/08/16","Osasuna","Sociedad",0,2,"A",8,5,3,4,14,14,10,1,2,1,0,0,3.1,3.1,2.5
"SP1","27/08/16","Real Madrid","Celta",2,1,"H",24,8,10,3,8,11,7,2,0,2,0,0,1.18,7,17
"SP1","28/08/16","Alaves","Sp Gijon",0,0,"D",13,7,2,1,10,12,4,6,1,1,0,0,2.15,3.2,3.75
"SP1","28/08/16","Ath Bilbao","Barcelona",0,1,"A",9,12,4,3,20,13,4,4,5,4,0,0,6.5,4.33,1.5
"SP1","28/08/16","Las Palmas","Granada",5,1,"H",15,13,10,2,8,16,6,4,5,1,0,0,1.91,3.4,4.33
"SP1","28/08/16","Villarreal","Sevilla",0,0,"D",12,6,5,0,16,12,5,1,1,3,0,0,2.5,3.4,2.8
"SP1","09/09/16","Sociedad","Espanol",1,1,"D",9,4,3,1,10,10,11,1,2,2,0,1,2.05,3.4,3.75
"SP1","10/09/16","Barcelona","Alaves",1,2,"A",16,5,2,4,12,12,13,0,1,1,0,0,1.07,12,34
"SP1","10/09/16","Celta","Ath Madrid",0,4,"A",9,13,1,6,13,12,6,4,1,2,0,0,6,3.3,1.73
"SP1","10/09/16","Malaga","Villarreal",0,2,"A",15,12,2,6,8,14,9,7,2,1,0,0,2.3,3.1,3.3
"SP1","10/09/16","Real Madrid","Osasuna",5,2,"H",25,10,11,3,14,14,6,7,2,2,0,1,1.04,15,34
"SP1","10/09/16","Sevilla","Las Palmas",2,1,"H",16,7,7,4,15,13,10,1,2,4,0,1,1.5,4.33,6
"SP1","11/09/16","Granada","Eibar",1,2,"A",15,10,5,8,7,8,6,7,2,0,0,1,2.15,3.25,3.5
"SP1","11/09/16","La Coruna","Ath Bilbao",0,1,"A",16,7,3,2,15,15,7,6,2,3,0,0,3.6,3.25,2.15
"SP1","11/09/16","Sp Gijon","Leganes",2,1,"H",7,9,4,2,12,16,3,5,0,2,0,0,2.25,3.2,3.4
"SP1","11/09/16","Valencia","Betis",2,3,"A",23,12,9,5,15,21,5,5,2,4,1,0,1.65,4.2,5
"SP1","16/09/16","Betis","Granada",2,2,"D",23,15,7,8,13,17,7,3,4,3,1,1,1.73,3.75,5
"SP1","17/09/16","Ath Madrid","Sp Gijon",5,0,"H",18,10,7,1,14,9,1,4,0,2,0,0,1.18,6.5,21
"SP1","17/09/16","Eibar","Sevilla",1,1,"D",10,8,2,4,19,10,4,2,1,1,2,0,3.1,3.3,2.35
"SP1","17/09/16","Las Palmas","Malaga",1,0,"H",6,10,2,2,11,18,2,2,3,1,0,0,2.3,3.25,3.3
