"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Austria","2015","Total","Total","Data tabulated by year of occurrence","Provisional figure","2016","84381",""
"Austria","2015","Total","January","Data tabulated by year of occurrence","Provisional figure","2016","6985",""
"Austria","2015","Total","February","Data tabulated by year of occurrence","Provisional figure","2016","6281",""
"Austria","2015","Total","March","Data tabulated by year of occurrence","Provisional figure","2016","6886",""
"Austria","2015","Total","April","Data tabulated by year of occurrence","Provisional figure","2016","6784",""
"Austria","2015","Total","May","Data tabulated by year of occurrence","Provisional figure","2016","7118",""
"Austria","2015","Total","June","Data tabulated by year of occurrence","Provisional figure","2016","7120",""
"Austria","2015","Total","July","Data tabulated by year of occurrence","Provisional figure","2016","7414",""
"Austria","2015","Total","August","Data tabulated by year of occurrence","Provisional figure","2016","7583",""
"Austria","2015","Total","September","Data tabulated by year of occurrence","Provisional figure","2016","7439",""
"Austria","2015","Total","October","Data tabulated by year of occurrence","Provisional figure","2016","7271",""
"Austria","2015","Total","November","Data tabulated by year of occurrence","Provisional figure","2016","6702",""
"Austria","2015","Total","December","Data tabulated by year of occurrence","Provisional figure","2016","6798",""
"Austria","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","81722",""
"Austria","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","6666",""
"Austria","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","6063",""
"Austria","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","6513",""
"Austria","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","6470",""
"Austria","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","6863",""
"Austria","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","6825",""
"Austria","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","7542",""
"Austria","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","7272",""
"Austria","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","7340",""
"Austria","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","7097",""
"Austria","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","6418",""
"Austria","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","6653",""
"Austria","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","79330",""
"Austria","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","6629",""
"Austria","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","5845",""
"Austria","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","6474",""
"Austria","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","6010",""
"Austria","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","6615",""
"Austria","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","6499",""
"Austria","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","7197",""
"Austria","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","7020",""
"Austria","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","7173",""
"Austria","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","6989",""
"Austria","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","6382",""
"Austria","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","6497",""
"Austria","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","78952",""
"Austria","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","6389",""
"Austria","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","6052",""
"Austria","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","6454",""
"Austria","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","6362",""
"Austria","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","6750",""
"Austria","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","6382",""
"Austria","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","7198",""
"Austria","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","7039",""
"Austria","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","6947",""
"Austria","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","6839",""
"Austria","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","6258",""
"Austria","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","6282",""
"Austria","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","78109",""
"Austria","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","6651",""
"Austria","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","6112",""
"Austria","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","6336",""
"Austria","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","6057",""
"Austria","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","6430",""
"Austria","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","6731",""
"Austria","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","6994",""
"Austria","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","6865",""
"Austria","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","6983",""
"Austria","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","6643",""
"Austria","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","5908",""
"Austria","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","6399",""
"Austria","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2011","78742",""
"Austria","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","6414",""
"Austria","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","5972",""
"Austria","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","6484",""
"Austria","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","6211",""
"Austria","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","6585",""
"Austria","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","6545",""
"Austria","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","7067",""
"Austria","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","6896",""
"Austria","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","6943",""
"Austria","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","6816",""
"Austria","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","6467",""
"Austria","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","6342",""
"Austria","2010","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2011","0",""
"Austria","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","76344",""
"Austria","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","6475",""
"Austria","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","5696",""
"Austria","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","6310",""
"Austria","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","5935",""
"Austria","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","6291",""
"Austria","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2010","6424",""
"Austria","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2010","6948",""
"Austria","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2010","6785",""
"Austria","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2010","6788",""
"Austria","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2010","6379",""
"Austria","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2010","5999",""
"Austria","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2010","6314",""
"Austria","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","77752",""
"Austria","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","6739",""
"Austria","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","6293",""
"Austria","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","6213",""
"Austria","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","6265",""
"Austria","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","6452",""
"Austria","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","6367",""
"Austria","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","6801",""
"Austria","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","6861",""
"Austria","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","6820",""
"Austria","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","6539",""
"Austria","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","6021",""
"Austria","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","6381",""
"Austria","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","76250",""
"Austria","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","6504",""
"Austria","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","5847",""
"Austria","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","6280",""
"Austria","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","5943",""
"Austria","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","6395",""
"Austria","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","6473",""
"Austria","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","6844",""
"Austria","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","6738",""
"Austria","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","6710",""
"Austria","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","6611",""
"Austria","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","5898",""
"Austria","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","6007",""
"Austria","2006","Total","January","Data tabulated by year of occurrence","Provisional figure","2006","5437",""
"Austria","2006","Total","February","Data tabulated by year of occurrence","Provisional figure","2006","6011",""
"Austria","2006","Total","March","Data tabulated by year of occurrence","Provisional figure","2006","6654",""
"Austria","2006","Total","April","Data tabulated by year of occurrence","Provisional figure","2006","5939",""
"Austria","2006","Total","May","Data tabulated by year of occurrence","Provisional figure","2006","6640",""
"Austria","2006","Total","June","Data tabulated by year of occurrence","Provisional figure","2006","6422",""
"Austria","2006","Total","July","Data tabulated by year of occurrence","Provisional figure","2006","6798",""
"Austria","2006","Total","August","Data tabulated by year of occurrence","Provisional figure","2006","7026",""
"Austria","2006","Total","September","Data tabulated by year of occurrence","Provisional figure","2006","6686",""
"Austria","2006","Total","October","Data tabulated by year of occurrence","Provisional figure","2006","6808",""
"Austria","2006","Total","November","Data tabulated by year of occurrence","Provisional figure","2006","6498",""
"Austria","2006","Total","December","Data tabulated by year of occurrence","Provisional figure","2006","6006",""
"Austria","2005","Total","January","Data tabulated by year of occurrence","Provisional figure","2005","5489",""
"Austria","2005","Total","February","Data tabulated by year of occurrence","Provisional figure","2005","5901",""
"Austria","2005","Total","March","Data tabulated by year of occurrence","Provisional figure","2005","6606",""
"Austria","2005","Total","April","Data tabulated by year of occurrence","Provisional figure","2005","6212",""
"Austria","2005","Total","May","Data tabulated by year of occurrence","Provisional figure","2005","6604",""
"Austria","2005","Total","June","Data tabulated by year of occurrence","Provisional figure","2005","6841",""
"Austria","2005","Total","July","Data tabulated by year of occurrence","Provisional figure","2005","6704",""
"Austria","2005","Total","August","Data tabulated by year of occurrence","Provisional figure","2005","7141",""
"Austria","2005","Total","September","Data tabulated by year of occurrence","Provisional figure","2005","6813",""
"Austria","2005","Total","October","Data tabulated by year of occurrence","Provisional figure","2005","6603",""
"Austria","2005","Total","November","Data tabulated by year of occurrence","Provisional figure","2005","6080",""
"Austria","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2005","78968",""
"Austria","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2005","6780",""
"Austria","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2005","6149",""
"Austria","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2005","6424",""
"Austria","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2005","6340",""
"Austria","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2005","6509",""
"Austria","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2005","6550",""
"Austria","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2005","6986",""
"Austria","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2005","6928",""
"Austria","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2005","6976",""
"Austria","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2005","6521",""
"Austria","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2005","6367",""
"Austria","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2005","6438",""
"Austria","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","76944",""
"Austria","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","6570",""
"Austria","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","6023",""
"Austria","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","6485",""
"Austria","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","6150",""
"Austria","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","6426",""
"Austria","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","6345",""
"Austria","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","6924",""
"Austria","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","6628",""
"Austria","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","6661",""
"Austria","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","6593",""
"Austria","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","5928",""
"Austria","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","6211",""
"Austria","2002","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","78399",""
"Austria","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","6594",""
"Austria","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","6110",""
"Austria","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","6724",""
"Austria","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","6313",""
"Austria","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","6500",""
"Austria","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","6373",""
"Austria","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","6927",""
"Austria","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","6573",""
"Austria","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","6944",""
"Austria","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","6671",""
"Austria","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","6244",""
"Austria","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","6426",""
"Austria","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","75458",""
"Austria","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","6611",""
"Austria","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","5866",""
"Austria","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","6376",""
"Austria","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2004","6187",""
"Austria","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2004","6409",""
"Austria","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2004","6127",""
"Austria","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2004","6625",""
"Austria","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2004","6491",""
"Austria","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2004","6513",""
"Austria","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2004","6372",""
"Austria","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2004","5801",""
"Austria","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2004","6080",""
"Austria","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2004","78268",""
"Austria","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2004","6587",""
"Austria","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2004","6384",""
"Austria","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2004","6799",""
