"datetime";"value"
2017-01-01 00:00:00;24510.1
2017-01-01 01:00:00;23299.1
2017-01-01 02:00:00;21877.6
2017-01-01 03:00:00;20811
2017-01-01 04:00:00;19492.5
2017-01-01 05:00:00;19105.5
2017-01-01 06:00:00;19197
2017-01-01 07:00:00;19537.8
2017-01-01 08:00:00;19614.6
2017-01-01 09:00:00;20271.7
2017-01-01 10:00:00;21933.6
2017-01-01 11:00:00;23413.4
2017-01-01 12:00:00;24149.7
2017-01-01 13:00:00;24828.9
2017-01-01 14:00:00;24732.8
2017-01-01 15:00:00;23673.6
2017-01-01 16:00:00;23008.7
2017-01-01 17:00:00;23838.1
2017-01-01 18:00:00;26513.1
2017-01-01 19:00:00;27620.2
2017-01-01 20:00:00;28645.6
2017-01-01 21:00:00;29211.7
2017-01-01 22:00:00;28913.3
2017-01-01 23:00:00;26486.5
2017-01-02 00:00:00;23572.1
2017-01-02 01:00:00;21020.7
2017-01-02 02:00:00;20048.8
2017-01-02 03:00:00;19701.4
2017-01-02 04:00:00;19456.1
2017-01-02 05:00:00;20277.5
2017-01-02 06:00:00;22296.2
2017-01-02 07:00:00;25879.2
2017-01-02 08:00:00;28609.4
2017-01-02 09:00:00;30911.7
2017-01-02 10:00:00;32729.1
2017-01-02 11:00:00;33325.9
2017-01-02 12:00:00;33340.5
2017-01-02 13:00:00;33107.1
2017-01-02 14:00:00;32800.8
2017-01-02 15:00:00;31623.5
2017-01-02 16:00:00;31694.6
2017-01-02 17:00:00;32378.8
2017-01-02 18:00:00;34281.5
2017-01-02 19:00:00;34721.6
2017-01-02 20:00:00;34646.5
2017-01-02 21:00:00;34617.4
2017-01-02 22:00:00;32738.2
2017-01-02 23:00:00;30008.7
2017-01-03 00:00:00;26921.2
2017-01-03 01:00:00;24804.2
2017-01-03 02:00:00;22751.7
2017-01-03 03:00:00;22681.6
2017-01-03 04:00:00;22450.4
2017-01-03 05:00:00;23016.8
2017-01-03 06:00:00;25167.9
2017-01-03 07:00:00;28812.5
2017-01-03 08:00:00;32595.3
2017-01-03 09:00:00;34617.6
2017-01-03 10:00:00;35958.1
2017-01-03 11:00:00;36314.8
2017-01-03 12:00:00;35891.6
2017-01-03 13:00:00;35470.4
2017-01-03 14:00:00;34265.6
2017-01-03 15:00:00;33284.7
2017-01-03 16:00:00;33239.3
2017-01-03 17:00:00;33975.6
2017-01-03 18:00:00;35961.3
2017-01-03 19:00:00;36192.4
2017-01-03 20:00:00;36205.9
2017-01-03 21:00:00;35367.7
2017-01-03 22:00:00;33694.3
2017-01-03 23:00:00;30229.6
2017-01-04 00:00:00;27662.3
2017-01-04 01:00:00;25131.9
2017-01-04 02:00:00;23363.1
2017-01-04 03:00:00;23047.9
2017-01-04 04:00:00;22820.1
2017-01-04 05:00:00;23555.1
2017-01-04 06:00:00;25888.5
2017-01-04 07:00:00;29416.9
2017-01-04 08:00:00;32752.3
2017-01-04 09:00:00;34627.3
2017-01-04 10:00:00;35805
2017-01-04 11:00:00;35528.7
2017-01-04 12:00:00;34721
2017-01-04 13:00:00;34392.9
2017-01-04 14:00:00;33066.9
2017-01-04 15:00:00;32507.8
2017-01-04 16:00:00;32503.6
2017-01-04 17:00:00;33094.9
2017-01-04 18:00:00;35105.6
2017-01-04 19:00:00;35221.1
2017-01-04 20:00:00;35099.7
2017-01-04 21:00:00;34895.4
2017-01-04 22:00:00;32895.7
2017-01-04 23:00:00;30877.4
2017-01-05 00:00:00;27687.9
2017-01-05 01:00:00;25404.5
2017-01-05 02:00:00;24016.6
2017-01-05 03:00:00;22970.6
2017-01-05 04:00:00;22610.2
2017-01-05 05:00:00;23337.8
2017-01-05 06:00:00;25533
2017-01-05 07:00:00;28623.5
2017-01-05 08:00:00;31518.7
2017-01-05 09:00:00;33625.1
2017-01-05 10:00:00;34792.8
2017-01-05 11:00:00;34571.1
2017-01-05 12:00:00;33810.4
2017-01-05 13:00:00;33537.5
2017-01-05 14:00:00;31918.2
2017-01-05 15:00:00;30919.6
2017-01-05 16:00:00;30393
2017-01-05 17:00:00;30393.4
2017-01-05 18:00:00;31899.4
2017-01-05 19:00:00;31733.4
2017-01-05 20:00:00;31408.6
2017-01-05 21:00:00;31509.6
2017-01-05 22:00:00;30465.4
2017-01-05 23:00:00;28591.4
2017-01-06 00:00:00;26640.8
2017-01-06 01:00:00;24017.1
2017-01-06 02:00:00;22247.6
2017-01-06 03:00:00;21271.8
2017-01-06 04:00:00;20942.6
2017-01-06 05:00:00;21035.1
2017-01-06 06:00:00;21451.7
2017-01-06 07:00:00;22220
2017-01-06 08:00:00;22403.6
2017-01-06 09:00:00;24473.3
2017-01-06 10:00:00;26524
2017-01-06 11:00:00;27233.6
2017-01-06 12:00:00;27089
2017-01-06 13:00:00;26984.8
2017-01-06 14:00:00;26442.9
2017-01-06 15:00:00;24973.8
2017-01-06 16:00:00;24246.1
2017-01-06 17:00:00;24539.1
2017-01-06 18:00:00;26371.9
2017-01-06 19:00:00;28561.7
2017-01-06 20:00:00;29756.4
2017-01-06 21:00:00;30265.5
2017-01-06 22:00:00;29207.2
2017-01-06 23:00:00;27671.2
2017-01-07 00:00:00;25327.3
2017-01-07 01:00:00;23701.1
2017-01-07 02:00:00;21956
2017-01-07 03:00:00;21408.6
2017-01-07 04:00:00;21042.1
2017-01-07 05:00:00;21166.6
2017-01-07 06:00:00;22382
2017-01-07 07:00:00;23678.9
2017-01-07 08:00:00;25489
2017-01-07 09:00:00;27705.8
2017-01-07 10:00:00;30100.2
2017-01-07 11:00:00;30577
2017-01-07 12:00:00;30242.2
2017-01-07 13:00:00;30153
2017-01-07 14:00:00;29574.5
2017-01-07 15:00:00;28378.1
2017-01-07 16:00:00;28082.5
2017-01-07 17:00:00;28483.8
2017-01-07 18:00:00;31465.6
2017-01-07 19:00:00;32264.3
2017-01-07 20:00:00;32987.3
