datetime;fecha;hora;prod;wind_speed
2007-03-29 01:00:00;2007-03-29;01:00;18564;8.2
2007-03-29 02:00:00;2007-03-29;02:00;15947;6.8
2007-03-29 03:00:00;2007-03-29;03:00;12769;6.4
2007-03-29 04:00:00;2007-03-29;04:00;11587;7.1
2007-03-29 05:00:00;2007-03-29;05:00;8735;6.2
2007-03-29 06:00:00;2007-03-29;06:00;13000;6.3
2007-03-29 07:00:00;2007-03-29;07:00;9958;5.8
2007-03-29 08:00:00;2007-03-29;08:00;15976;8
2007-03-29 09:00:00;2007-03-29;09:00;13872;6.3
2007-03-29 10:00:00;2007-03-29;10:00;12025;6.1
2007-03-29 11:00:00;2007-03-29;11:00;15884;8.9
2007-03-29 12:00:00;2007-03-29;12:00;18734;6
2007-03-29 13:00:00;2007-03-29;13:00;14321;7.6
2007-03-29 14:00:00;2007-03-29;14:00;7676;5.6
2007-03-29 15:00:00;2007-03-29;15:00;3874;4.5
2007-03-29 16:00:00;2007-03-29;16:00;3046;4.5
2007-03-29 17:00:00;2007-03-29;17:00;5417;5
2007-03-29 18:00:00;2007-03-29;18:00;4551;4
2007-03-29 19:00:00;2007-03-29;19:00;4577;5.2
2007-03-29 20:00:00;2007-03-29;20:00;4467;4.6
2007-03-29 21:00:00;2007-03-29;21:00;2821;5.2
2007-03-29 22:00:00;2007-03-29;22:00;3720;4.4
2007-03-29 23:00:00;2007-03-29;23:00;1729;3.8
2007-03-30 00:00:00;2007-03-30;00:00;1813;4.6
2007-03-30 01:00:00;2007-03-30;01:00;1173;5.1
2007-03-30 02:00:00;2007-03-30;02:00;1684;6.4
2007-03-30 03:00:00;2007-03-30;03:00;1663;5.9
2007-03-30 04:00:00;2007-03-30;04:00;922;4.3
2007-03-30 05:00:00;2007-03-30;05:00;2014;5.2
2007-03-30 06:00:00;2007-03-30;06:00;2899;5.1
2007-03-30 07:00:00;2007-03-30;07:00;2222;5.1
2007-03-30 08:00:00;2007-03-30;08:00;4161;5.9
2007-03-30 09:00:00;2007-03-30;09:00;5584;6.2
2007-03-30 10:00:00;2007-03-30;10:00;5346;6.6
2007-03-30 11:00:00;2007-03-30;11:00;7285;6.9
2007-03-30 12:00:00;2007-03-30;12:00;11353;8.8
2007-03-30 13:00:00;2007-03-30;13:00;15899;7.3
2007-03-30 14:00:00;2007-03-30;14:00;20177;8.7
2007-03-30 15:00:00;2007-03-30;15:00;25920;12.1
2007-03-30 16:00:00;2007-03-30;16:00;28815;10.9
2007-03-30 17:00:00;2007-03-30;17:00;26810;10.1
2007-03-30 18:00:00;2007-03-30;18:00;16151;8.9
2007-03-30 19:00:00;2007-03-30;19:00;10035;8.5
2007-03-30 20:00:00;2007-03-30;20:00;7323;7
2007-03-30 21:00:00;2007-03-30;21:00;6863;6.7
2007-03-30 22:00:00;2007-03-30;22:00;6127;5.7
2007-03-30 23:00:00;2007-03-30;23:00;6760;8
2007-03-31 00:00:00;2007-03-31;00:00;6351;7.9
2007-03-31 01:00:00;2007-03-31;01:00;9281;6
2007-03-31 02:00:00;2007-03-31;02:00;10148;8.5
2007-03-31 03:00:00;2007-03-31;03:00;15060;8.9
2007-03-31 04:00:00;2007-03-31;04:00;15843;8.1
2007-03-31 05:00:00;2007-03-31;05:00;11551;7.7
2007-03-31 06:00:00;2007-03-31;06:00;12558;5.4
2007-03-31 07:00:00;2007-03-31;07:00;9084;6.5
2007-03-31 08:00:00;2007-03-31;08:00;8986;7
2007-03-31 09:00:00;2007-03-31;09:00;9190;4.3
2007-03-31 10:00:00;2007-03-31;10:00;9928;5.8
2007-03-31 11:00:00;2007-03-31;11:00;6721;6.8
2007-03-31 12:00:00;2007-03-31;12:00;12133;7.1
2007-03-31 13:00:00;2007-03-31;13:00;15539;7.2
2007-03-31 14:00:00;2007-03-31;14:00;19226;7.8
2007-03-31 15:00:00;2007-03-31;15:00;21520;8.9
2007-03-31 16:00:00;2007-03-31;16:00;20651;8
2007-03-31 17:00:00;2007-03-31;17:00;20133;7.7
2007-03-31 18:00:00;2007-03-31;18:00;16661;8
2007-03-31 19:00:00;2007-03-31;19:00;18413;5.9
2007-03-31 20:00:00;2007-03-31;20:00;18712;7.5
2007-03-31 21:00:00;2007-03-31;21:00;17615;8.5
2007-03-31 22:00:00;2007-03-31;22:00;17604;7.3
2007-03-31 23:00:00;2007-03-31;23:00;14646;5.6
2007-04-01 00:00:00;2007-04-01;00:00;8221;3.6
2007-04-01 01:00:00;2007-04-01;01:00;2552;4.7
2007-04-01 02:00:00;2007-04-01;02:00;1991;3.8
2007-04-01 03:00:00;2007-04-01;03:00;2846;3.7
2007-04-01 04:00:00;2007-04-01;04:00;3802;4.4
2007-04-01 05:00:00;2007-04-01;05:00;2358;4
2007-04-01 06:00:00;2007-04-01;06:00;3015;5.5
2007-04-01 07:00:00;2007-04-01;07:00;6408;4.7
2007-04-01 08:00:00;2007-04-01;08:00;6503;4.8
2007-04-01 09:00:00;2007-04-01;09:00;11212;8.4
2007-04-01 10:00:00;2007-04-01;10:00;13008;7.2
2007-04-01 11:00:00;2007-04-01;11:00;10804;7.4
2007-04-01 12:00:00;2007-04-01;12:00;17196;9.7
2007-04-01 13:00:00;2007-04-01;13:00;27854;7.8
2007-04-01 14:00:00;2007-04-01;14:00;22605;7.4
2007-04-01 15:00:00;2007-04-01;15:00;23523;8.7
2007-04-01 16:00:00;2007-04-01;16:00;18459;8.1
2007-04-01 17:00:00;2007-04-01;17:00;26867;9.6
2007-04-01 18:00:00;2007-04-01;18:00;18605;7.8
2007-04-01 19:00:00;2007-04-01;19:00;17213;6.5
2007-04-01 20:00:00;2007-04-01;20:00;6659;6.2
2007-04-01 21:00:00;2007-04-01;21:00;7146;6.7
2007-04-01 22:00:00;2007-04-01;22:00;5580;8.2
2007-04-01 23:00:00;2007-04-01;23:00;2728;4.2
2007-04-02 00:00:00;2007-04-02;00:00;4599;7.2
2007-04-02 01:00:00;2007-04-02;01:00;6377;8.2
2007-04-02 02:00:00;2007-04-02;02:00;11484;9.4
2007-04-02 03:00:00;2007-04-02;03:00;12600;8
2007-04-02 04:00:00;2007-04-02;04:00;12595;6.1
2007-04-02 05:00:00;2007-04-02;05:00;12666;7.2
2007-04-02 06:00:00;2007-04-02;06:00;8391;4.6
2007-04-02 07:00:00;2007-04-02;07:00;3270;5.1
2007-04-02 08:00:00;2007-04-02;08:00;7069;8.2
2007-04-02 09:00:00;2007-04-02;09:00;13450;7.2
2007-04-02 10:00:00;2007-04-02;10:00;6850;5.3
2007-04-02 11:00:00;2007-04-02;11:00;2225;4.8
2007-04-02 12:00:00;2007-04-02;12:00;1122;4.6
2007-04-02 13:00:00;2007-04-02;13:00;1125;4
2007-04-02 14:00:00;2007-04-02;14:00;1002;3.8
2007-04-02 15:00:00;2007-04-02;15:00;956;4.5
2007-04-02 16:00:00;2007-04-02;16:00;1602;4.1
2007-04-02 17:00:00;2007-04-02;17:00;535;3.8
2007-04-02 18:00:00;2007-04-02;18:00;3368;6.1
2007-04-02 19:00:00;2007-04-02;19:00;3664;4.4
2007-04-02 20:00:00;2007-04-02;20:00;1328;5.1
2007-04-02 21:00:00;2007-04-02;21:00;2422;1.2
2007-04-02 22:00:00;2007-04-02;22:00;1492;4
2007-04-02 23:00:00;2007-04-02;23:00;576;3
2007-04-03 00:00:00;2007-04-03;00:00;0;1.5
2007-04-03 01:00:00;2007-04-03;01:00;0;2
2007-04-03 02:00:00;2007-04-03;02:00;0;1.5
2007-04-03 03:00:00;2007-04-03;03:00;0;0.1
2007-04-03 04:00:00;2007-04-03;04:00;0;0.6
2007-04-03 05:00:00;2007-04-03;05:00;0;0.2
2007-04-03 06:00:00;2007-04-03;06:00;0;1.9
2007-04-03 07:00:00;2007-04-03;07:00;0;2
2007-04-03 08:00:00;2007-04-03;08:00;0;1.6
2007-04-03 09:00:00;2007-04-03;09:00;0;1.7
2007-04-03 10:00:00;2007-04-03;10:00;0;1.1
2007-04-03 11:00:00;2007-04-03;11:00;0;2.4
2007-04-03 12:00:00;2007-04-03;12:00;0;0.7
2007-04-03 13:00:00;2007-04-03;13:00;0;2.3
2007-04-03 14:00:00;2007-04-03;14:00;0;2.8
2007-04-03 15:00:00;2007-04-03;15:00;564;2.4
